boundary,test,command,canonical_revision,backend_health,cleanup_result,state
"canonical mutation validation","model_characterization + changelog_integration (atomic typed errors; failed commits change nothing)","cargo test -p roml --test model_characterization --test changelog_integration","unchanged prior (instance,revision)","Ready/unchanged","atomic typed error",PASS
"compiler preflight","compiler_sync (capability/policy/source-instance gates reject before IR)","cargo test -p roml --test compiler_sync","unchanged","prior health","no backend mutation",PASS
"delta apply before mutation","backend_contract recoverable_failure_triggers_rebuild_cycle (wrong-from revision rejected; cursor unchanged)","cargo test -p roml --test backend_contract recoverable_failure_triggers_rebuild_cycle","unchanged","Ready","recoverable error; exact prior CompilationId",PASS
"delta apply after partial mutation","objective_policy_faults partial_apply_failure_composes_primary_and_cleanup + feasibility_relaxation_faults partial_apply_failure_composes_primary_and_cleanup_errors","cargo test -p roml --test objective_policy_faults partial_apply_failure","unchanged","RequiresRebuild","composite primary+cleanup; rebuild required",PASS
"rebuild failure","objective_policy_faults injected_rebuild_failure_returns_error_and_forces_rebuild + backend_contract corrupt_state_rebuild_recovers","cargo test -p roml --test objective_policy_faults injected_rebuild_failure_returns_error_and_forces_rebuild","unchanged","RequiresRebuild","operational error; no fabricated CompilationId",PASS
"SolvePlan overlay preflight","solve_overlay compile_overlay_rejects_* (stale base, unknown objective, invalid assignment before any op)","cargo test -p roml --test solve_overlay","unchanged","Ready","no temporary artifacts; base CompilationId unchanged",PASS
"overlay partial apply","feasibility_relaxation_faults partial_apply_failure_composes_primary_and_cleanup_errors; objective_policy_faults partial_apply_failure_composes_primary_and_cleanup","cargo test -p roml --test feasibility_relaxation_faults partial_apply_failure","unchanged","Ready iff rollback verified else RequiresRebuild","receipt + cleanup evidence; overlay ID cannot survive",PASS
"solve failure under overlay","objective_policy_faults injected_solve_failure_returns_backend_error; feasibility_relaxation_faults injected_solve_failure_preserves_primary_error_and_rolls_back","cargo test -p roml --test objective_policy_faults injected_solve_failure","unchanged","shared overlay rules","no solution accepted; primary preserved",PASS
"solution extraction failure","objective_policy_faults post_solve_extraction_failure_rolls_back_and_leaks_no_result + partial_primal_candidate_is_typed_error_with_clean_rollback","cargo test -p roml --test objective_policy_faults post_solve_extraction_failure","unchanged","shared overlay rules","rollback attempted; no partial Solution",PASS
"overlay rollback failure","objective_policy_faults injected_rollback_and_verify_failures_are_composite_cleanup (Rollback arm)","cargo test -p roml --test objective_policy_faults injected_rollback_and_verify_failures_are_composite_cleanup","unchanged","RequiresRebuild","composite operational error; base restoration not claimed",PASS
"overlay rollback verification failure","objective_policy_faults injected_rollback_and_verify_failures_are_composite_cleanup (Verify arm)","cargo test -p roml --test objective_policy_faults injected_rollback_and_verify_failures_are_composite_cleanup","unchanged","RequiresRebuild","rebuild required; base CompilationId not trusted",PASS
"P29 oracle Unknown","iis_mutation unknown_never_promotes_to_infeasible_or_irreducible + objective_policy_faults unknown_termination_is_a_mathematical_stage_outcome_not_a_backend_error","cargo test -p roml --test iis_mutation unknown_never_promotes","unchanged","usable if oracle session isolated/clean","Unknown preserved; no IIS inflation",PASS
"P29 final verification failure","iis_reducer final-verification VerificationFailure test","cargo test -p roml --test iis_reducer","unchanged","analysis session discarded/recovered","no irreducible claim; Unknown/incomplete report",PASS
"P30 relaxation apply/solve/extract failure","feasibility_relaxation_faults cleanup_error_retains_primary_failure_and_rebuild_requirement + injected_solve_failure_preserves_primary_error_and_rolls_back + numerical_and_compile_failures_are_not_mathematical_outcomes","cargo test -p roml --test feasibility_relaxation_faults","unchanged","shared overlay rules","no repair report before cleanup; primary+cleanup preserved",PASS
"P31 stage objective apply failure","objective_policy_faults injected_apply_failure_returns_backend_error_and_no_leak","cargo test -p roml --test objective_policy_faults injected_apply_failure","unchanged","shared overlay rules","no later stage executes; exact failed-stage error",PASS
"P31 stage lock apply failure","objective_policy_faults later_stage_apply_failure_stops_descent_with_primary_preserved (fails the lock-carrying stage-1 overlay)","cargo test -p roml --test objective_policy_faults later_stage_apply_failure","unchanged","RequiresRebuild (composite)","lock not treated as active without receipt; later stages stop",PASS
"P31 final rollback failure","objective_policy_faults injected_rollback_and_verify_failures_are_composite_cleanup (successful math + failed cleanup yields composite, no result)","cargo test -p roml --test objective_policy_faults injected_rollback_and_verify_failures_are_composite_cleanup","unchanged","RequiresRebuild","no MultiObjectiveResult as reusable success; composite error",PASS
"P36 serialize failure before path commit","mps_write_path create_temp_failure_is_typed_and_does_not_attempt_cleanup","cargo test -p roml --test mps_write_path","model identity unchanged","N/A","destination unchanged",PASS
"P36 temp write/flush/sync failure","mps_write_path write_flush_sync_and_replace_failures_cleanup_the_stage","cargo test -p roml --test mps_write_path write_flush_sync_and_replace","N/A","N/A","destination unchanged; temp cleanup attempted",PASS
"P36 atomic replace failure","mps_write_path write_flush_sync_and_replace_failures_cleanup_the_stage + atomic_replace_uses_one_commit_event_and_stages_in_destination_directory + cleanup_failure_preserves_the_primary_path_failure","cargo test -p roml --test mps_write_path","N/A","N/A","old destination intact or platform atomic failure without prior removal",PASS
